Jaar_laden;POSTCODE_LADEN;AANTAL_LAADLOCATIES; Totaal_KG_VRACHT ;Naam stal;Straat + huisnummer;Plaats;KVK nummer;tel nummer ;;;;
2024;0000BL;1;42.200;;;;;;;;;
2024;1016GR;1;150.100;;;;;;;;;
2024;1023CD;1;180.000;;;;;;;;;
2024;1027AH;1;48.500;Gj Van Meerveld;Broekergouw 16;Amsterdam;33205572;06 55542377;;;;
2024;1028AZ;1;20.000;;;;;;;;;
2024;1028BA;1;581.200;;;;;;;;;
2024;1047AZ;1;23.051.400;;;;;;;;;
2024;1054GT;1;633.600;;;;;;;;;
2024;1063VN;1;29.000;;;;;;;;;
2024;1066CA;1;543.500;;;;;;;;;
2024;1067PJ;1;157.000;;;;;;;;;
2024;1067TH;1;226.800;;;;;;;;;
2024;1083HP;1;157.000;;;;;;;;;
2024;1096CR;1;414.890;;;;;;;;;
2024;1103SB;1;612.500;;;;;;;;;
2024;1108AZ;1;272.500;;;;;;;;;
2024;1108BM;1;15.000;;;;;;;;;
2024;1109BN;1;219.900;;;;;;;;;
2024;1111HP;1;625.840;;;;;;;;;
2024;1111PP;1;143.000;;;;;;;;;
2024;1121NM;1;264.200;;;;;;;;;
2024;1121NW;1;641.500;Stal Kok;van Beekstraat 294;Landsmeer;52776476;06 51388856;;;;
2024;1127PM;1;223.000;;;;;;;;;
2024;1141HH;1;196.100;;;;;;;;;
2024;1141PD;1;75.900;Maatschap Schouten;Overleek 1;Monnickendam;37159663;0299 654 185;;;;
2024;1151EC;1;240.000;;;;;;;;;
2024;1151ED;1;532.700;Stal Baco;Belmermeer 5;Broek in Waterland;37155118;06 57252485;;;;
2024;1153PK;1;399.200;Veehouderbedrijf C Deun;Gouw 11;Zuiderwoude;37155036;020 403 1248;;;;
2024;1161GG;1;10.900;;;;;;;;;
2024;1165MX;1;885.300;;;;;;;;;
2024;1171RC;1;185.000;;;;;;;;;
2024;1175KC;1;350.000;;;;;;;;;
2024;1175KM;1;33.000;;;;;;;;;
2024;1175KX;1;41.500;;;;;;;;;
2024;1182AA;1;547.860;;;;;;;;;
2024;1182AC;1;1.180.200;;;;;;;;;
2024;1183TA;1;300.400;;;;;;;;;
2024;1183TK;1;14.000;;;;;;;;;
2024;1183TP;1;96.800;;;;;;;;;
2024;1187ZT;1;220.300;;;;;;;;;
2024;1187ZV;1;196.000;;;;;;;;;
2024;1188VJ;1;858.100;;;;;;;;;
2024;1188XJ;1;279.700;;;;;;;;;
2024;1191KK;1;1.632.880;;;;;;;;;
2024;1191KM;1;273.500;;;;;;;;;
2024;1191KN;1;195.000;;;;;;;;;
2024;1191LG;1;226.300;Jc De Dood;Middenweg 7;Ouderkerk aan de Amstel;34331795;020 496 1869;;;;
2024;1213RM;2;874.000;;;;;;;;;
2024;1213TR;1;738.100;Stal Prinsenburg Bv;Utrechtseweg 269;Hilversum;66596602;035 577 2455;;;;
2024;1218XX;1;153.800;;;;;;;;;
2024;1222ZZ;1;369.000;;;;;;;;;
2024;1223LX;1;8.800;;;;;;;;;
2024;1231KR;1;1.127.400;;;;;;;;;
2024;1231KZ;1;792.400;;;;;;;;;
2024;1251CJ;1;738.000;;;;;;;;;
2024;1261TJ;1;30.000;Stal Rieder;Kerkpad 12;Blaricum;66309581;06 22400191;;;;
2024;1261TP;1;37.500;;;;;;;;;
2024;1309BB;1;679.700;;;;;;;;;
2024;1311PA;1;732.100;;;;;;;;;
2024;1333ZR;1;621.500;;;;;;;;;
2024;1338GA;1;1.148.700;;;;;;;;;
2024;1358BP;1;245.600;;;;;;;;;
2024;1381GZ;1;60.070;Stoeterij Fra Skoti;Horn 25;Weesp;32147460;06 55892336;;;;
2024;1381HH;1;562.500;;;;;;;;;
2024;1391GT;1;1.027.600;Stal Willig;Gein-Zuid 16;Abcoude;51289776;06 51249789;;;;
2024;1391HJ;1;508.900;Jha Van Blokland;Voetangelweg 9;Abcoude;30091941;;;;;
2024;1391HM;1;131.200;;;;;;;;;
2024;1391HN;1;60.160;;;;;;;;;
