Jaar_laden;POSTCODE_LADEN;AANTAL_LAADLOCATIES; Totaal_KG_VRACHT ;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;PC6;Naam manege;Straat en huisnummer;Plaats;KVK nummer
2024;0000BL;1; 42.200 ;;;;;0000BL;;;;
2024;1016GR;1; 150.100 ;;;;;1016GR;;;;
2024;1023CD;1; 180.000 ;;;;;1023CD;;;;
2024;1027AH;1; 48.500 ;;;;;1027AH;Gj Van Meerveld;Broekergouw 16;Amsterdam;33205572
2024;1028AZ;1; 20.000 ;;;;;1028AZ;;;;
2024;1028BA;1; 581.200 ;;;;;1028BA;;;;
2024;1047AZ;1; 23.051.400 ;;;;;1047AZ;;;;
2024;1054GT;1; 633.600 ;;;;;1054GT;;;;
2024;1063VN;1; 29.000 ;;;;;1063VN;;;;
2024;1066CA;1; 543.500 ;;;;;1066CA;;;;
2024;1067PJ;1; 157.000 ;;;;;1067PJ;;;;
2024;1067TH;1; 226.800 ;;;;;1067TH;;;;
2024;1083HP;1; 157.000 ;;;;;1083HP;;;;
2024;1096CR;1; 414.890 ;;;;;1096CR;;;;
2024;1103SB;1; 612.500 ;;;;;1103SB;;;;
2024;1108AZ;1; 272.500 ;;;;;1108AZ;;;;
2024;1108BM;1; 15.000 ;;;;;1108BM;;;;
2024;1109BN;1; 219.900 ;;;;;1109BN;;;;
2024;1111HP;1; 625.840 ;;;;;1111HP;;;;
2024;1111PP;1; 143.000 ;;;;;1111PP;;;;
2024;1121NM;1; 264.200 ;;;;;1121NM;;;;
2024;1121NW;1; 641.500 ;;;;;1121NW;Stal Kok;van Beekstraat 294;Landsmeer;52776476
2024;1127PM;1; 223.000 ;;;;;1127PM;;;;
2024;1141HH;1; 196.100 ;;;;;1141HH;;;;
2024;1141PD;1; 75.900 ;;;;;1141PD;Maatschap Schouten;Overleek 1;Monnickendam;37159663
2024;1151EC;1; 240.000 ;;;;;1151EC;;;;
2024;1151ED;1; 532.700 ;;;;;1151ED;Stal Baco;Belmermeer 5;Broek in Waterland;37155118
2024;1153PK;1; 399.200 ;;;;;1153PK;Veehouderbedrijf C Deun;Gouw 11;Zuiderwoude;37155036
2024;1161GG;1; 10.900 ;;;;;1161GG;;;;
