Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
9458TA,Stal Dolfing,Balloo 13,Balloo,01174280
9411XD,Portella Hoeve,Eursing 46,Beilen,01068554
9531TE,Ist En Pensionstal Beekdal,Strengenweg 11,Borger,57171491
7751ZS,Stalhouderij De Vliers,Vliers 11,Dalen,04065805
7966AA,Stal Johan Heins Bv,Hessenweg 30,De Schiphorst,04061736
7966AB,Vds Horses,Schiphorsterweg 27,De Schiphorst,68606893
9457TA,Marcel Hauber Trotting Stable Bv,Deurze 23,Deurze,04078457
9497PS,Dba Stables,Zuideinde 10,Donderen,62026453
9614AE,Nabuur Hoeve,Hoofdweg 183,Harkstede GN,52208044
9497TE,Stal En Erf,Scheperijen 1,Donderen,77388119
9525TK,Oosterhoeve,Zuideind 8 A,Drouwenerveen,71290362
9525TC,Petronellahoeve,Noorderstraat 46,Drouwenerveen,01142125
7991NB,Cjp Bel,Lheebroekerweg 1,Dwingeloo,69634424
7887GB,Maatschap D En Ah Heineke,Ericasestraat 46,Erica,01178093
9462PN,Manege Gasselte Cv,Lutkenend 19 a,Gasselte,04029215
7925PK,Gangenpaarden Reestdal,Paardelanden 12,Linde,01163155
7925PL,Stal Zuidema,Vuile Riete 7,Linde,67682197
7948LE,Handel En Pension Stal Egberdina Hoeve,Nijeveense Bovenboer 29,Nijeveen,77363205
7846TB,Stoeterij Fitjar,De Hullen 1,Noord-Sleen,04046906
9765EM,Manegefokstal De Marsch,Hooiweg 200,Paterswolde,57899150
9321XN,Stal Hartlief,Lieverseweg 32,Peize,74424300
7963PC,Stal Heeserveld,Echtenseweg 12,Ruinen,66024439
7963PC,Stoeterij Gaesbeek,Echtenseweg 23 a,Ruinen,55574386
7961LN,Dagmar Dressage,De Weidenweg 17 a,Ruinerwold,68503490
7761AG,Team Holties,Europaweg 18,Schoonebeek,61509833
9443TJ,Fh Horses,Hoofdstraat 6,Schoonloo,71485333
9443TL,Maatschap Mj En G Lensing,Elperstraat 9,Schoonloo,01163941
9443TJ,Boerderijcamping Roeloomskamp,Hoofdstraat 10,Schoonloo,04050349
9443TL,Stal Kruizinga,Elperstraat 10,Schoonloo,02096474
7934PD,Hengstenhouderij Riekus En Ilonka Veninga,Hoofdweg 7,Stuifzand,02049180
7844NW,Van Wijk,Nieuwe weg 108,Veenoord,77141679
8381XL,Stal Jede Vledder Vof,Vledderlanden 1,Vledder,66036119
9445XH,A Somer,Vredenheim 3,Vredenheim,71556176
9481AV,R Meijer,Verlengde Noordenveldweg 3,Vries,51795515
