Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
0000BL,Geen FNRS-bedrijf (postcode mismatch),,,
1016GR,Geen FNRS-bedrijf (postcode mismatch),,,
1023CD,Geen FNRS-bedrijf (postcode mismatch),,,
1027AH,Geen FNRS-bedrijf (postcode mismatch),,,
1028AZ,Geen FNRS-bedrijf (postcode mismatch),,,
1028BA,Melman Friese Paarden,Belmermeer 5,,020-4031587
1047AZ,Geen FNRS-bedrijf (postcode mismatch),,,
1054GT,De Hollandsche Manege,Vondelstraat 140,,020-6180942
1063VN,Geen klikbaar resultaat,,,
1066CA,Stichting Manege de Ruif,Sloterweg 675,,020-6156667
1067PJ,Geen FNRS-bedrijf (postcode mismatch),,,
1067TH,Geen FNRS-bedrijf (postcode mismatch),,,
1083HP,Geen FNRS-bedrijf (postcode mismatch),,,
1096CR,Bereden Politie Nederland Amsterdam,Ouderkerkerdijk 140,,09008844
1103SB,Geen FNRS-bedrijf (postcode mismatch),,,
1108AZ,Geen FNRS-bedrijf (postcode mismatch),,,
1108BM,Geen klikbaar resultaat,,,
1109BN,Geen FNRS-bedrijf (postcode mismatch),,,
1111HP,Stichting Manege De Eenhoorn,Landlust 3,,020-6953161
1111PP,Geen FNRS-bedrijf (postcode mismatch),,,
1121NM,Geen FNRS-bedrijf (postcode mismatch),,,
1121NW,Geen klikbaar resultaat,,,
1127PM,Geen klikbaar resultaat,,,
1141HH,Geen klikbaar resultaat,,,
1141PD,Geen klikbaar resultaat,,,
1151EC,Geen klikbaar resultaat,,,
1151ED,Geen klikbaar resultaat,,,
1153PK,Geen klikbaar resultaat,,,
1161GG,Geen klikbaar resultaat,,,
1165MX,Geen klikbaar resultaat,,,
1171RC,Geen klikbaar resultaat,,,
1175KC,Geen klikbaar resultaat,,,
1175KM,Geen klikbaar resultaat,,,
1175KX,Geen klikbaar resultaat,,,
1182AA,Geen klikbaar resultaat,,,
1182AC,Geen klikbaar resultaat,,,
1183TA,Geen klikbaar resultaat,,,
1183TK,Geen klikbaar resultaat,,,
1183TP,Geen klikbaar resultaat,,,
1187ZT,Geen klikbaar resultaat,,,
1187ZV,Geen klikbaar resultaat,,,
1188VJ,Geen klikbaar resultaat,,,
1188XJ,Geen klikbaar resultaat,,,
1191KK,Geen klikbaar resultaat,,,
1191KM,Geen klikbaar resultaat,,,
1191KN,Geen klikbaar resultaat,,,
1191LG,Geen klikbaar resultaat,,,
1213RM,Geen klikbaar resultaat,,,
1213TR,Geen klikbaar resultaat,,,
1218XX,Geen FNRS-bedrijf (postcode mismatch),,,
1222ZZ,Geen FNRS-bedrijf (postcode mismatch),,,
1223LX,Geen FNRS-bedrijf (postcode mismatch),,,
1231KR,Geen klikbaar resultaat,,,
1231KZ,Geen FNRS-bedrijf (postcode mismatch),,,
1251CJ,De Larense Manege,Rijksweg-West 37,,035-5314086
1261TJ,Geen klikbaar resultaat,,,
1261TP,Geen FNRS-bedrijf (postcode mismatch),,,
1309BB,Hippisch Centrum Perier,Botterweg 2 4,,0613448809
1311PA,Geen FNRS-bedrijf (postcode mismatch),,,
1333ZR,Geen FNRS-bedrijf (postcode mismatch),,,
1338GA,Geen FNRS-bedrijf (postcode mismatch),,,
1358BP,Geen FNRS-bedrijf (postcode mismatch),,,
1381GZ,Geen klikbaar resultaat,,,
1381HH,Geen FNRS-bedrijf (postcode mismatch),,,
1391GT,Geen klikbaar resultaat,,,
1391HJ,Geen FNRS-bedrijf (postcode mismatch),,,
