Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
8617LA,Stoeterij Koopmans Vof,Rige 2,Abbega,61838845
8495NG,Henswoude Dekstation En Exportstal,Prikwei 15,Aldeboarn,01173751
9243SK,H De Vries,Mjûmster Wei 39,Bakkeveen,01159764
9025BR,Sws Beers,Bearsterdyk 14,Bears,01068774
9025BR,Van De Lageweg Bv,Bearsterdyk 14,Bears,01155165
9025BR,Vdl Stud Horse Sales Bv,Bearsterdyk 14,Bears,50337017
9171AL,De Gouden Hoep,AEbingaloane 6,Blije,55104789
8392NL,Manege Handels En Africhtingsstal Veenstra,Boijlerweg 124,Boijl,01098042
8392NL,Mts J R En G Jorritsma Postma,Boijlerweg 132,Boijl,01152533
9285XK,Entrainement Smeding,Oost 29,Buitenpost,55861970
9285XK,Vof Mejontsma State,Oost 7,Buitenpost,62782398
8397GA,Paardensportcentrum Stegeman,Bovenweg 20,De Blesse,01109752
9215VP,Paardenopfokbedrijf De Burd,De Flearbosk 8,De Veenhoop,01147889
9215VP,Maatschap Talen,De Flearbosk 8,De Veenhoop,78042429
9271VG,Maatschap A F P En W Kamminga,Miedloane 20,De Westereen,01172741
8435VW,Stoeterij Hanestreek,Hanestreek 7,Donkerbroek,01104737
9205BZ,4 Horses Bv Io,Oprijlaan 1,Drachten,75831376
9289HH,Hj Stables Paardenfok En Pensionstal,de Droegehamster Feart 3,Drogeham,75283336
9289HC,Paardenhouderij R Tel En Mr Dr J Bos,Tillewei 32 A,Drogeham,68195699
9289XL,Stal Henstra,Jan Gerkeswei 12,Drogeham,01078763
9261XL,Hengstenstation It Heechsan,Boerestreek 4,Eastermar,01092044
9261XV,Stal Yn It Span,Robyntsjewei 15,Eastermar,01164317
8802PH,Paardenhouderij Jj Hettinga,War 6,Franeker,01118856
8401BD,Dekema Ruitersport,Dwersfeart 13,Gorredijk,01101630
9074TG,Maatschap Jw Pw En F Bouma,Noorderleeg 5,Hallum,01176711
8571RL,Stal Geertsma Vof,Harichsterdyk 4,Harich,01167550
8862CE,J Van Der Pol,Herbaijumerweg 6,Harlingen,01170610
8862BM,Van Der Meer Horsea Bv,Ludingaweg 36,Harlingen,53126114
8409CL,Ride With Pride Pension En Opfokstalling,Poasen 25,Hemrik,51487802
9057LH,Seldsum Equine Fertility,Piter Rindertsreedsje 16,Jelsum,52258572
8501ZJ,Stoeterij Bommelsteyn Bv,Polderboskdyk 13 a,Joure,01015117
8723BX,Maatschap A En J Heida,Poel 1,Koudum,01150086
8723EK,Stal De Heamar,Haanmeer 2,Koudum,71761993
8408JD,Maatschap Bakker Zoethout,Bûtewei 57,Lippenhuizen,01162413
8408JD,Stal Hermitage,Boerestreek 11,Lippenhuizen,01167993
8494MZ,B De Boer,Birstum 7,Nes,01176259
8494MZ,Cr Wartena,Birstum 21,Nes,62112430
8479HJ,Roos Stables,Pieter Stuyvesantweg 97,Oldetrijne,01158774
8567LL,Opfokstal Beuckens Oudemirdum,Huningspaed 21,Oudemirdum,51096463
8451KD,Hanovers Hoeve,Schoterlandseweg 82,Oudeschoot,04036750
9105KJ,Mts G En Hg Epema,Galgeheech 9,Rinsumageast,63300303
8462TD,Oak Ranch,Schoterweg 12,Rotstergaast,54173418
8464VK,Stal Fan De Kadyk,Kadijk 14,Sintjohannesga,01142393
8565GP,T Schraa,Noorderreed 12,Sondel,61368199
9079LH,Stal Hermes,Westeinde 43,St.-Jacobiparochie,01043403
8522MV,Stal Breimer,Gaestdyk 4,Tjerkgaast,01118898
8522ML,W Wester,Strjitwei 12,Tjerkgaast,63287439
8851RE,Maatschap Lootsma,Kammingadammen 2,Tzummarum,01172604
9247WL,Horses2Connect,Bûtewei 20,Ureterp,01165382
8721GE,Maatschap J En B Westhof,Boppelâns 23,Warns,62660152
9241WB,Ritsma Show Horse,Nije Heawei 7,Wijnjewoude,61167975
9241HM,Stal Ten Hove,Tjalling Harkeswei 89,Wijnjewoude,57429235
9241GA,T Schaap,Merkebuorren 13,Wijnjewoude,01174941
