Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
7122KC,Stal Drenthel,Huisstededijk 5,Aalten,53366107
5335LB,Dutchsportponys,Veerweg 1 b,Alem,66265193
5335LB,Van Mook Van Den Oever,Veerweg 3 a,Alem,11010967
5131BW,Stal Het Merkske,Boslust 10,Alphen,74543032
6687AT,Stal Cunera,Kampsestraat 61,Angeren,80219616
3771RR,Caitewick Bv,Donkervoorterweg 21,Barneveld,08154317
7341PN,Manege Pothoven,Broeklanderweg 91,Beemte Broekland,73539988
6681DX,Stoeterij Buitenzorg,Ressensestraat 7,Bemmel,62887424
6721NA,Curly Paarden In Het Veld,Zwartesteeg 1,Bennekom,62145177
6721NH,Pensionstal Roosendaal,Harnsesteeg 12 12a,Bennekom,09211715
7271SM,Stal Cupido,Barchemseweg 30,Borculo,57420793
6657AA,Franssen Boven Leeuwen Beheer Bv,Kampsestraat 25,Boven-Leeuwen,10019449
6657AA,Rene Franssen Dekstation En Handelsstal Bv,Kampsestraat 25,Boven-Leeuwen,10035648
5306HB,Dressuurstal Van Baalen Bv,Verdrietweg 2,Brakel,70556903
5314LE,W Den Otter,Steenweg 4,Bruchem,75558424
4107LJ,De Raad Vof,Rietveldseweg 26 a,Culemborg,64319938
4105LE,Gh De Leeuw,Prijsseweg 22,Culemborg,30269767
7002CP,Dutch Sporthorses,Bevrijdingsstraat 92,Doetinchem,09153487
6621KL,Op Stal 128 Bv,van Heemstraweg 128,Dreumel,78284880
6665LL,E Ten Bosch,Vogelenzangsestraat 10,Driel,63778505
6665LL,Vof Stal Ten Bosch,Vogelenzangsestraat 10,Driel,09168725
6718VD,Dressuurstal Bart Bax,Schampsteeg 2,Ede,71745041
6718PG,Hengstenstation Gebr Van Manen Bv,Zuiderkade 41,Ede,72005335
6718TZ,Joel Agrarische Dienstverlening,Nieuwesteeg 2 A,Ede,78751519
6718SH,Oscarhoeve,Deelweg 20,Ede,09137189
6718NG,Stoeterij Van Kleef Bv,Maanderdijk 28,Ede,70072876
6718SB,The Mill Ranch,Apeldoornseweg 9,Ede,09076999
6744PJ,Rancho Di Cabai,Poelweg 7,Ederveen,77694163
7211MH,H De Jong,Harfsense Steeg 7,Eefde,05051612
6961RA,Gsw Te Bokkel,Soerense Zand Zuid 5,Eerbeek,63449889
7151HA,Lhbm Beusink,Molenweg 20,Eibergen,09213870
6661NS,F Doezejager,Kerkstraat 6,Elst,09193702
6662NP,G Groeneveld,Breedlersestraat 10,Elst,62221795
6661ND,Stoeterij Koningsland,Snodenhoeksestraat 19,Elst,09057855
8166KR,Vof De Lindehoeve,Nijbroekerweg 11,Emst,55291341
4157GR,De Driesprong,Korte Veersteeg 16,Enspijk,30255038
8162PR,Maatschap Richfarm,Tongerenseweg 200,Epe,08192571
4117GV,Manege Satana,Lutterveld 28,Erichem,72006080
3853PG,Jw Ruiter,Oude Telgterweg 263,Ermelo,64624781
7075EL,Eurobred Horses,Warmseweg 13,Etten,64010082
7075DS,Hengstenhouderij Van Keulen,Bluemerstraat 4,Etten,09172780
7075EP,Stoeterij De Wiellijksche Stede,Warmseweg 5,Etten,73483486
6644KR,Smc Bloem,Ficarystraat 5,Ewijk,09204785
5311PC,Sb Horses Bv,Middelkampseweg 5,Gameren,30243565
5311PC,Vof Van Steenbergen,Middelkampseweg 31,Gameren,63312433
7081HM,Stal Van Ravesteijn,Miltseweg 5,Gendringen,71574573
7081AA,The Horse Store,Ulftseweg 4 A,Gendringen,09147142
7213LT,Stal De Prins,Flierderweg 11,Gorssel,59107529
7141HE,Jwh Huurneman,Oude Winterswijkseweg 46,Groenlo,09222269
6561KS,7 Hills Cv,Oude Kleefsebaan 164,Groesbeek,09206141
6561KV,Lagewald,Lagewald 13,Groesbeek,09203781
6923CB,Shetlandpony Fokkerij Stal Nieuw Vredenburg,Lijkweg 23,Groessen,76381293
6732GR,A Hendrikse,Westenengerdijk 44,Harskamp,09194620
6732GL,Gj Kampert,Blaakweg 18,Harskamp,67370888
6732GC,Lindenburg Sport Horses,Pijnenburgweg 12,Harskamp,53364775
6732DG,Resim Facilitair Paarden Centrum Bv,Laarweg 15,Harskamp,54605970
6732GR,Vof W Hazeleger,Westenengerdijk 62,Harskamp,09048880
8051SH,Maatschap Dirksen,Hoenwaardseweg 11,Hattem,57810265
6624KJ,Hengstenstation Van Uytert Bv,van Heemstraweg 6,Heerewaarden,56863632
7255JZ,Hoeve De Hooghekamp,Hogenkampweg 40,Hengelo (Gld),52263231
6616AA,Am Rising Star Ranch,Diepestraat 4,Hernen,09181094
6914KJ,Camping De Boschhof,Polderdijk 2 a,Herwen,09162338
6666LA,Stal Darwin,Uilenburgsestraat 29,Heteren,09041231
6666GA,Stoeterij Airborne,Boterhoeksestraat 54,Heteren,71004971
4161AA,Stal Borst Vof,Heidensweg 12,Heukelum,30252577
6582BB,Stal Noyco,Looistraat 63,Heumen,09178106
3849NN,Gb Zuurveld,Lage Enkweg 25,Hierden,08144460
3849NN,Stoeterij Pride Stables,Lage Enkweg 25,Hierden,08075308
3849MR,Veldstar Stables,Berkenboomsweg 10,Hierden,32149588
6631KJ,Hengstenhouderij Dibbits,Molenweg 20,Horssen,30255790
6631KC,Stal Van Beijnum,Ulandsestraat 1,Horssen,30268735
6851DK,Ruitersportcentrum Huissen,Karstraat 34 b,Huissen,65772199
8077RA,Stal Mol,Varelseweg 42,Hulshorst,74043528
8077RT,T Hofman,Poppeswegje 32,Hulshorst,08194884
7382SB,Em Boom,Oude Zutphenseweg 5,Klarenbeek,08203181
3774BV,Stal Lanterne,Kootwijkerbroekerweg 84,Kootwijkerbroek,75782065
3774TK,Wise Investment Bv,Meentweg 4,Kootwijkerbroek,32067907
6998CC,Stal Vonders,Eldrikseweg 1,Laag-Keppel,52480909
7245VW,Mvh Ruitersport,Verwoldseweg 29,Laren,76671992
7245VW,Stal Haarman,Verwoldseweg 29,Laren,08120730
7245NE,Stal Saaltink,Molendijk 12,Laren,57941963
4033CT,Paardenfokkerijopfok De Beemd,Beemdsestraat 9,Lienden,72298804
7364AA,Hollander Horses Bv,Wolfskuilen 36,Lieren,72094095
6924AB,Stal Hendriks Duiven Nv,Loostraat 1 a,Loo Gld,65391497
6741LD,Buitenlust Paardentraining,Bisschopweg 83,Lunteren,74253875
6741EC,De Nieuwe Heuvel Bv,Veenstraat 1,Lunteren,09153721
6741HH,Henk Delen Wagenbouwtraining,Veldhuizerweg 10 a,Lunteren,09215041
6741KP,Kabeko Doors,Immenweg 12,Lunteren,08225399
6741HP,Stal Beiten,Meulunterseweg 66,Lunteren,78101441
6741HP,Stal Van De Meikade Bv,Meulunterseweg 92 -94,Lunteren,64784436
6581ED,Stal Theunissen,Rijksweg 23,Malden,70715602
4021HD,Stal Petra Van Den Berg,Tielsestraat 66,Maurik,30239874
7161RH,Pensionstal En Trainingsstal Hermelink,Kempersdijk 52,Neede,09180790
5313AP,Veehouderij H Timmer,Kerkstraat 37,Nieuwaal,30280162
3862RN,Ellens Horse Care,Bloemendaalseweg 15,Nijkerk,66246911
3862NP,Ellieshoeve,Slichtenhorsterweg 63,Nijkerk,32161232
3861MS,H Van Dasselaar 2,Keienweg 23 a,Nijkerk,68793979
3862RW,Stal De Driesprong,Nieuwe Voorthuizerweg 6,Nijkerk,08061728
3862PX,Stal Bus,Drostenweg 4,Nijkerk,67055222
