Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
9661TJ,F Ten Seldam,Höchterweg 3,Alteveer,56476558
7683AZ,Fred Van Straaten Sport Stables,Ommerweg 74,Den Ham,63446030
7683AZ,Galaxy International Bv,Ommerweg 66,Den Ham,66721563
7683PT,Maatschap M Dubbink En H Dubbink Blekkenhorst,Linderweg 11,Den Ham,08218387
9967TK,Sijbrand Iwema Flevo Farm,Oosterweg 1,Eenrum,75757095
9745EM,Mts De Groene Weide Paardenopfokbedrijf,Aduarderdiepsterweg 17,Groningen,68215878
9745EM,Sa Sipkens,Aduarderdiepsterweg 22,Groningen,56173660
9614AE,Mts Heringa,Hoofdweg 183,Harkstede GN,52208044
9602VT,Stalhouderij En Manege Nieboer Bv,van der Duyn v Maasdamwg 274 a,Hoogezand,59496428
9973TB,Maatschap K Van Der Lei,Vlakkeriet 5,Houwerzijl,01151780
9995NC,Pensionstal Van Vliet,Bredeweg 27,Kantens,65486404
9864TE,Opfokbedrijf On Y Va,Snipperij 3,Kornhorn,01150063
9363VC,Stal Haarsterweide,Haarsterweg 51,Marum,51143666
2204AP,Stal Van Nobelen Bv,Kraaierslaan 2,Noordwijk,28073576
9821TB,Manege Stal De Wijk,Kuzemerweg 18 A,Oldekerk,02078116
9821TE,Stoeterij T Oosterzand,Zandumerweg 23,Oldekerk,71828362
9865VN,Eloma Hoeve,Parkweg 9,Opende,78097452
4212CZ,H De Man,Spijkse Kweldijk 39,Spijk,11025948
9356VA,Roosterhuis,De Holm 7,Tolbert,61331783
9945RC,Maatschap Bosma Boonstra,Meerweg 3,Wagenborgen,01154528
9951TR,Stal Homan,Klein Garnwerd 4,Winsum,01171752
