Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
5966RS,Mfs Horses Bv,Graafsebosweg 4,America,59960914
5944EL,Hans Van Den Berg,Boerenweg 78,Arcen,12035671
6262NZ,Maatschap Scheepers Moermans,Grotestraat 5,Banholt,51799812
6573AZ,Stal Ebbers Vof,Alde Weteringweg 2,Beek,10147869
5951NK,Stal Melis,Elshoutweg 27,Belfeld,64678229
6268NC,Akerdael Bv,Oude Akerstraat 51,Bemelen,66707331
5854RA,Stal7,Parallelweg 7,Bergen L,67386709
6456AP,Anouk Lambrichts,Eindstraat 19,Bingelrade,54451183
6241ND,De Meer,Meerstraat 47,Bunde,14101791
6267AH,Tychon Jl,Rijksweg 102,Cadier en Keer,14629899
6439AD,Maatschap Mhjm Bergmans,Maastrichterweg 2,Doenrade,70948496
5987ND,Haras Du Buisson,Roggelseweg 138,Egchel,53963679
5987ND,Maatschap Peeters Derikx,Roggelseweg 122,Egchel,14125823
5987NC,Paardenfokkerij Van Der Palen,Roggelseweg 121,Egchel,70892083
6245AA,Stal Kerenshof,Voerstraat 4,Eijsden,76280403
6142BT,Wagemans Stables Vof,Fischerpad 2,Einighausen,78176050
5977NJ,If,Drie Kooienweg 9,Evertsoord,75911248
5812AG,Bourns Sporthorses Bv,Volen 1 B,Heide,77163974
5812AG,Ellen Poels,Volen 1 B,Heide,53713656
5812AG,Galaxy Quarter Horses,Volen 6,Heide,14112113
6598MC,Beco Horses Vof,Hommersumseweg 57,Heijen,66614546
6598AE,Dressuurstal Deenen Vof,Hoofdstraat 44 a,Heijen,76874583
5988NT,Hgg Wilms,Molenstraat 124,Helden,60751282
6093PR,Stal Le Winne,Scheyvenhofweg 8,Heythuysen,14115231
5961PM,Brookhorses,Vrouwboomweg 26,Horst,53188462
5961PM,Sg Horses Bv,Vrouwboomweg 26,Horst,75577429
6336TG,Jmej Bemelmans,Wissengrachtweg 45,Hulsberg,73814709
6037RH,Hhe Reijnen,Zandstraat 8,Kelpen-Oler,14120079
6037NM,Van Meerwijk Ruitersport,Kempisweg 5,Kelpen-Oler,80262104
5995PX,De Ruyter Stables Vof,Keizersbaan 3,Kessel,12040255
5995NT,Hx Breeding 2,Rijksweg 43,Kessel,12058109
5995NT,Hx Kessel Bv,Rijksweg 45,Kessel,75697351
5995NT,Michel Hendrix Holding Bv,Rijksweg 45,Kessel,75724073
5995NT,Pmej Hendrix Holding Bv,Rijksweg 43,Kessel,12029808
5995PP,Paddock Paradise De Gangelt,Hout 10,Kessel,78407680
5995PX,Stal Hendrix Kessel Bv,Keizersbaan 7 A 1,Kessel,69111421
5995NT,Vof Hx Horses,Rijksweg 45,Kessel,67780008
6343PH,Stal Schaepkens,Retersbekerweg 5,Klimmen,51727811
6104BM,Stal Het Koningspaard,Kap Verdonschotstraat 56,Koningsbosch,14074014
5984NV,Van Mierlo Handelsstal Vof,De Brentjes 39,Koningslust,12040711
5976NL,Domino Horses,Peelstraat 30,Kronenberg,72762934
6374XX,Handelsstal T Geet Good,Haanweg 12,Landgraaf,14052977
5993NK,De Dijkerhoeve,Sevenumse Dijk 10,Maasbree,58373705
5993PB,Vof Beekerheide,Lange Heide 10,Maasbree,12022844
6225NC,Firenze Holding,Molenweg 8,Maastricht,72675381
6105AD,Atj Vullers,Boekhorstweg 4,Maria Hoop,14111920
5768RP,Mts Berben Vissers,Vieruitersten 6,Meijel,14128558
5768RT,Stal Startebos,Molenbaan 18,Meijel,61784265
5964NR,Stal Tacken,Kannegietweg 11,Meterik,70576742
6585KP,Rs Dressage Center De Horst,Bracamonteweg 51,Mook,58093362
6086AR,Paardencentrum Epona,Kruisstraat 7,Neer,12047344
6255NJ,Opfokbedrijf Heuvelland,Bergenhuizen 17,Noorbeek,14125420
6255NK,Raeven Sporthorses Bv,Bergenhuizen 22,Noorbeek,62444395
6361DA,Op De Brant,Branterweg 3,Nuth,72037458
6438HA,De Ierse Tinker,Oirsbekerweg 55,Oirsbeek,14073791
6035AB,Stal De Claesstraete,Klaarstraat 34,Ospel,14113313
6035PV,Van Den Broek Springpaarden,Schepengraaf 10 A,Ospel,67535178
6595MK,Stal Van Dijk Bv,Moerasweg 6,Ottersum,12031246
5981PK,Stal Leisink,Haagveld 13 A,Panningen,56904770
6155NM,Stoeterij Keldenaar Bv,Keldenaar 4,Puth,69079331
6088NT,Maatschap Sleutels Goltstein,Heldensedijk 12,Roggel,50772686
6088NN,Stal Eijkhof,Strubben 11,Roggel,12064149
5975PB,Hoeymakers Fruit,Broek 18 a,Sevenum,56382650
5975NV,Kalitera,Kleefsedijk 23,Sevenum,80262074
5975PN,Stal Vestjens Bv,Vinkepas 16,Sevenum,70097488
5853EM,Carbone Sport Horses Vof,Beltweg 2 a,Siebengewald,73733962
6111AA,Maatschap Pex Paulssen,Leenderveldweg 1,Sint Joost,14128359
6114AN,Hoeve Ijzerenbosch,Aardenweg 31,Susteren,12066436
6114LB,Mhpr Dohmen,Lange Akkersweg 1,Susteren,14113942
6114KE,Paardenboerderij Sonhof,Zilstraat 7,Susteren,12059323
6071PD,Stal Mestrom,Wieler 44,Swalmen,59615168
6071PD,Maatschap T Haesterdt,Wieler 19,Swalmen,14124162
5866BR,Aniekpoelshorses Bv,Donkstraat 11,Swolgen,63904810
5866AP,Brendaris Bv,Boabelweg 10,Swolgen,12031152
5866BR,Stal De Leygraaf,Donkstraat 14,Swolgen,56525710
6441LG,P G Reumkens Vof,Akkerweg 5 A,Brunssum,14077013
6235AA,Pn Dassio Bv,Genzon 71,Ulestraten,73721891
6291NA,Paardenstalling Erkens,Wolfhaag 61,Vaals,14119153
5928RL,Clear Round Bv,Venrayseweg 354,Venlo,68231563
5926PB,Maatschap Keunen Korsten,Berenbroekweg 16,Venlo,14125576
5804AT,Mhjm Stiphout,Overloonseweg 99,Venray,52402061
6294NG,Paardenhouderij Smeets,Harles 18,Vijlen,52389928
6294NG,Paardenstalling Wiertz,Harles 19,Vijlen,63770997
5861CT,Vof Hengstenhouderij Jos En Trudi Houwen,Postbaan 24 A,Wanssum,12037041
6006TA,Bridgeside Farms International Bv,IJzerenmanweg 4,Weert,68701780
6003PW,Hop Horses,Weijerkesweg 5,Weert,72565136
6006VE,Heinrichs Gruppe Paarden Opfok Bv,Dijkerpeelweg 14,Weert,74474111
6006PS,Hengstenhouderij Ki Station Dirckx,Dijkerstraat 28 A,Weert,12052495
6006TA,Hengstenhouderij De Ijzeren Man Bv,IJzerenmanweg 4,Weert,14131936
6005NE,Husain International Sales Bv,Breijbaan 13,Weert,75945142
6002TB,Stal California Cv,Eindhovenseweg 93,Weert,13039199
6002TB,Stal Korenbloem Bv,Eindhovenseweg 99 A,Weert,14113135
5856AX,Maatschap De Droogstal,Droogstal 6,Wellerlooi,14129563
5813BH,Diana Kuijten,Rouwkuilenweg 35,Ysselsteyn,70503664
5813AA,Hd Equestrian,Deurneseweg 101,Ysselsteyn,74964763
