Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
5109RA,Vof Melsen,Vaartweg 19 A,'s Gravenmoer,18064684
5735RD,Hengstenhouderij Van Bommel,Lieshoutseweg 70,Aarle-Rixtel,59095121
5735PA,Pjm Verbakel,Kasteelweg 3,Aarle-Rixtel,17060185
5735PA,Stal Verbakel,Kasteelweg 3,Aarle-Rixtel,69972311
4885KM,Jochems Invest,Eendenkooistraat 15,Achtmaal,77077822
4885KJ,Vw Horses,Nieuwmoerseweg 31,Achtmaal,77287517
5721WK,Erika Lickhammer,Hindert 2,Asten,14109063
5721SR,Hpm Aarts,Kloostereind 2,Asten,17245750
5721WL,Stal Heijligers,Laarbroek 5,Asten,17179220
5721WK,Vhl Stables,Hindert 2,Asten,56448570
5111XG,Stal Boschoven Bv,Boschoven 16,Baarle-Nassau,66449316
5761RG,Stal De Westhoeve,Nuijeneind 16,Bakel,65187393
5761PL,Stal Mandy Bankers,Ravensgat 5,Bakel,68096496
4859AC,Bg Sporthorses Bv,De Leeuwerik 8 a,Bavel AC,67547958
4859AC,Bg Sporthorses International Bv,De Leeuwerik 8 a,Bavel AC,67548040
4859AC,De Leeuwerik Stables Bv,De Leeuwerik 8 a,Bavel AC,67547990
4859AC,Stal De Leeuwerik Bv,De Leeuwerik 8 a,Bavel AC,20142047
5741SL,Hestegaarden,Peeleindseweg 6,Beek en Donk,77913558
5741TD,Stal Van Boxmeer,Broekweg 2,Beek en Donk,17248115
5437PG,Agm Huberts,Vianenstraat 6,Beers NB,16064194
4622RM,The Pine Ranch,Bergsebaan 71,Bergen op Zoom,70704929
5258TW,Van Rooij Kluijtmans Vof,Zandstraat 37,Berlicum,17150409
5684NT,B Spanjers,Kapelweg 40,Best,17252081
5084HB,Stal Van Hoof Bv,Hakvoortseweg 19,Biest-Houtakker,78131138
5084HB,Wj Van Hoof Bv,Hakvoortseweg 19,Biest-Houtakker,18047017
5531PJ,Spliethof Vof,Het Bosch 4,Bladel,75574241
5427EG,Ak Quarter Horses Bv,Peelstraat 24,Boekel,67991149
5427EG,Stal Hazelberg,Peelstraat 15,Boekel,16080334
5427HD,Stal Meulemeesters,De Bunders 4 b,Boekel,17273940
5427LP,Verhagen Horse Service Vof,Rietven 4,Boekel,57719721
5831JM,Maatschap Verberkt Bongarts,Veerstraat 53,Boxmeer,61279269
5281SC,Dester Van Nunen Fotografie,Koevoortseweg 20,Boxtel,70033978
5282JE,Kim Vugts,Nergena 20,Boxtel,62444530
5282HP,Schoenmakers,Uilenbroek 3,Boxtel,17245516
5281TJ,Stoeterij Bloemendael Vof,Bosrand 3,Boxtel,77097238
4838EP,Lips Stables Bv,Vaartwegje 46,Breda,60698608
4838EG,Sintels Bv,Rijsbergseweg 590,Breda,20046671
6021PA,Stal Leijser,Randweg-Oost 35,Budel,17273197
6021SB,Stoeterij De Berghoeve,Bergbosweg 38,Budel,17275347
5176NM,Invictus Bv,Heibloemstraat 10,De Moer,62219774
5425RD,Springstal Van De Wetering,Breemhorstsedijk 65,De Mortel,17168352
5764RL,Dressuurstal Stijn Bruisten,Jodenpeeldreef 8,De Rips,17259154
5275JB,Stal Heijmans,Preutelsteeg 2,Den Dungen,71154582
4911BW,Gj Van Olst Bv,Terheijdensspoor 9,Den Hout,20074975
4911BW,Hengstenhouderij Gert Jan Van Olst Bv,Terheijdensspoor 9,Den Hout,20108602
4911BW,Van Olst Sales Bv,Terheijdensspoor 9,Den Hout,20101158
5752PD,Vof De Kawei,Bakelseweg 53,Deurne,17142711
5752RZ,Stal Bankers,Molenhof 1 a,Deurne,67347800
5752PX,Stal Knijnenburg Bv,Goorsebergweg 8,Deurne,66709830
5106AA,Stoeterij Klein Dongen Cv,Klein Dongenseweg 43,Dongen,18061869
4924EC,Stal Van Stokkom,Zeggeweg 3,Drimmelen,20164723
5151RG,Pensionstal Giersbergen,Giersbergen 5,Drunen,17172518
5151RH,R Vissers Drunen,Margrietweg 1,Drunen,17270867
5528NB,Stoeterij Duyselshof Bv,Landrop 6,Hoogeloon,22028794
5613ES,Jr Stables,Lakerstraat 32,Eindhoven,55069665
5647LB,Stal De Groof,Riel 8 A,Eindhoven,69236992
5424SH,Stal Keizersberg Bv,Keizersberg 24,Elsendorp,60128631
5085ED,Stal De Utrecht Vof,Groenstraat 19,Esbeek,18071136
4871NG,Paardenmelkerij De Edelweiss,Hanekinderstraat 9,Etten-Leur,20155872
4873LN,Vof De Bollenhoeve,Bollenstraat 5,Etten-Leur,20100838
6028RD,Verhoeven,Vennenweg 14,Gastel,17275364
5291NE,J Van Kessel,Boomstraat 10,Gemonde,17275494
5291AL,Stal Van Esch,Kerkeind 15,Gemonde,17125387
5294NG,Vepac Bv,Besselaar 10,Gemonde,16040035
5126NR,De Zwing,Hoogstraat 3,Gilze,17246413
5126AZ,Tja Vof,Bessemeindseweg 6,Gilze,56375050
5089PH,Paardenhouderij Rombouts,Koningin Julianaweg 1,Haghorst,80150535
5089NW,Stal Jansen En Jansen Bv,Moergestelseweg 3 A,Haghorst,64447367
4661PB,Q Stables Vof,Tholenseweg 35,Halsteren,20147489
4661RE,Vof Stal Kommers,Daansbergen 1,Halsteren,61194360
5423VV,Stal Krol Vof,Haveltweg 66,Handel,53114329
5257NH,Stal Poppelaars Vof,De Omloop 5,Hedikhuizen,51054035
4726TC,Stoeterij Zoomvliet,Zoomvlietweg 8,Heerle,20124519
5384RB,Stal De Fliere Fluiter,Wijststraat 16,Heesch,17245420
