Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
1432CP,Handels En Pensionstal Lijnden,Aalsmeerderweg 317,Aalsmeer,34074420
1027AH,Gj Van Meerveld,Broekergouw 16,Amsterdam,33205572
1619PR,Anne Marie Groenveld Holding Bv,Vleetweg 28,Andijk,72209186
1619PR,Gert Jan De Vries Holding Bv,Vleetweg 28,Andijk,72209569
1619PR,Hippisch Centrum De Vleet Bv,Vleetweg 28,Andijk,72210788
1619JE,Schoon Veehandel,Dijkweg 276,Andijk,36043576
1566AZ,Fokkerij Pensionstal Pegasus,Akere 8,Assendelft,77251660
1566PH,Handels En Pensionstal Knap Bv,Veenpolderdijk 5 b,Assendelft,34174970
1566PN,Rm Stables,Vaartdijk 27 C,Assendelft,59127945
1566PL,Stoeterij Pensionstal Wilmartho,Vaartdijk 4 AB,Assendelft,35020852
1475JJ,Vof Ponyclub Sasja En Jd Ranch,Beets 132,Beets,37085601
1861PH,Maatschap Veldt 2,Groeneweg 2,Bergen (NH),37153841
1261TJ,Stal Rieder,Kerkpad 12,Blaricum,66309581
1151ED,Stal Baco,Belmermeer 5,Broek in Waterland,37155118
2142ES,Stal Cruquius,Cruquiusdijk 68 B,Cruquius,34185148
1934PM,Stal Valkering,Hoeverweg 2 A,Egmond aan den Hoef,61943746
1613PG,Droomhoeve Bv,Geerling 14,Grootebroek,78765439
1613PG,Stede Broec Hoeve,Geerling 37,Grootebroek,61724351
2031BL,Green Sporthorses Bv,A. Hofmanweg 40,Haarlem,76523713
2013AS,Stal Vosse Vof,Kinderhuissingel 2 D,Haarlem,34014378
1968LP,Vof Stal De Ruyter,Noordermaatweg 8,Heemskerk,56663420
1702PD,Cv Stoeterij Haalstra,Jan Glijnisweg 52 B,Heerhugowaard,37114742
1704NA,Stoeterij Baccarav,A.C. de Graafweg 6,Heerhugowaard,37135733
1213TR,Stal Prinsenburg Bv,Utrechtseweg 269,Hilversum,66596602
2131LV,Stal Starro,IJweg 951,Hoofddorp,34226196
1471CB,Kl Stables,Kwadijk 24 a,Kwadijk,60951524
1471CB,Stal Wijdewormer Kwadijk Bv,Kwadijk 27,Kwadijk,35023225
1121NW,Stal Kok,van Beekstraat 294,Landsmeer,52776476
2451BB,Maatschap Gebr Kea,Willem van der Veldenweg 8,Leimuiden,27354120
1462MG,Maatschap J Worp En N Worp Spaans,Rijperweg 119,Middenbeemster,37161383
1141PD,Maatschap Schouten,Overleek 1,Monnickendam,37159663
1398PE,Muiderbuiten Bv 2,Noordpolderweg 2,Muiden,67107524
1394AB,Pensionstal De Bergen,Meerlaan 23,Nederhorst den Berg,32081621
2153KD,Western Wranglers,Rijnlanderweg 1337,Nieuw-Vennep,70228108
1463HA,Stal Hertenhof Noordbeemster Bv,Middenweg 10,Noordbeemster,37088369
1713GG,Dwh Dutch Warmblood Horses,Hofland 2 A,Obdam,34256736
1191LG,Jc De Dood,Middenweg 7,Ouderkerk aan de Amstel,34331795
1724PT,Vee En Paardenhouderij Beukers Bv,Wagenweg 12,Oudkarspel,37066401
1744GK,Jjd Blaauboer,Stroet 49,Sint Maarten,37161027
1715GH,Maatschap K Slagter A Slagter Leeuw,Spanbroekerweg 1,Spanbroek,37149959
1488AB,Fc Jongejans,Kogerpolder 16,Starnmeer,37149306
1488AK,Jongens Hands On Projects,Middelweg 1,Starnmeer,77258053
1488AB,Starlake Stable,Kogerpolder 10,Starnmeer,37156190
1488AC,Trainingsstal Starnmeer,Damkensvoetpad 4,Starnmeer,35030673
2114BC,Stal S Gravenweg,Vogelenzangseweg 164,Vogelenzang,69644616
1473PP,Yaccaranda Arabians,IJsselmeerdijk 18 a,Warder,36033649
1749AZ,Broersen Stables,Diepsmeerweg 39,Warmenhuizen,58490140
1381GZ,Stoeterij Fra Skoti,Horn 25,Weesp,32147460
1693HL,Leestensch Hof Vof,De Pijp 7,Wervershoof,08121942
1464GA,Benz Stables,Zuiderweg 11,Westbeemster,54676010
1464NA,Stal Ingrid Vd Weiden,Wormerweg 10,Westbeemster,67729703
1464GA,Vof Langerijs Groot,Zuiderweg 8 b,Westbeemster,60624817
1608HH,Firma Stoeterij Het Centrum,Blokdijk 9 C,Wijdenes,36013638
1456NG,Fokkerij Handels En Afr Stal Marijnissen,Zuiderweg 60 B,Wijdewormer,35021247
1456NH,Jaap Zandvliet,Zuiderweg 63,Wijdewormer,34234993
1456NK,Stal 104 Bv,Noorderweg 104,Wijdewormer,34111438
1456NH,Van Der Hoeven Reining,Zuiderweg 72,Wijdewormer,57384517
1456NM,Weel Stables,Noorderweg 133,Wijdewormer,75475057
1456NM,X Stables Bv,Noorderweg 133,Wijdewormer,71382569
1652PD,Jan Wijnker,Noordermeer 13,Zuidermeer,62579878
1652PD,Stal Suydermeer,Noordermeer 5 A,Zuidermeer,74839128
1153PK,Veehouderbedrijf C Deun,Gouw 11,Zuiderwoude,37155036
1153PK,Veehouderij Tromp,Gouw 9 B,Zuiderwoude,63209772
1461DS,Jacatra Bv,Oostdijk 27,Zuidoostbeemster,36036266
1463PG,Stal Beemster Landgoed Vredeveld,Mijzerweg 5,Noordbeemster,36053281
1847LM,Stoeterij Fleurstables,Laanweg 3,Zuidschermer,60666447
