Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
7665TN,John Kemna Installatietechniek,Zenderseweg 80,Albergen,08133029
7495PE,Gba Te Koppele,Schoneveldsweg 11,Ambt Delden,08203240
5991ND,Stal Hendrix,Napoleonsbaan Zuid 32,Baarlo,14107583
5991ND,Stal Hendrix Baarlo Bv,Napoleonsbaan Zuid 32,Baarlo,69110662
5991ND,Tpe Hendrix Holding Ii Bv,Napoleonsbaan Zuid 32,Baarlo,69112495
5995NT,Vof Hx Horses,Rijksweg 45,Kessel,67780008
7691PH,Gebr Nijmeijer Vof,Brinkweg 8,Bergentheim,05047975
7691PH,Paardenopfok Geerligs,Brinkweg 6,Bergentheim,75926229
7588PB,Maatschap Wigger,Hassinkhofweg 1,Beuningen,08222141
7688RA,Stal Westerd,Esweg 17 b,Daarle,08193410
7722HW,Nanning Stables Bv,Hammerweg 3,Dalfsen,69199779
7722SP,Stal De Ontginning,Hessenweg 40,Dalfsen,65353560
7722TW,Vof De Vlaake,Veldweg 3,Dalfsen,61524921
7587LL,Maatschap Morsink,Hanhofweg 18,de Lutte,08222282
7587LL,Maatschap Stal Het Hanhof,Hanhofweg 18,de Lutte,08222243
7587LC,Pia Luise Aufrecht Bv,Beuningerstraat 19,de Lutte,08202894
7587LC,Stal Het Oosterbrook Bv,Beuningerstraat 19,de Lutte,08202899
7591NB,De Dinkel Hoeve,Stroothuizerweg 30,Denekamp,08112393
7546PR,Erve Rutbeek,Rutbeekweg 65,Enschede,08118550
7536PE,Holzikstables,Allemansveldweg 150,Enschede,71465588
7548PB,I Mosman,Haaksbergerstraat 843,Enschede,61797057
7274EG,Team Nijhof,Kulsdom 9,Geesteren,76925595
7481PB,Hanenberghoeve,Hanenbergweg 45,Haaksbergen,06058457
7448RN,Stal De Ruuter,Almeloseweg 30,Haarle,08160355
7615PK,Hagenvoort Sporthorses,Klösseweg 2,Harbrinkhoek,67686753
7796HR,Vof Stoeten,Ommerweg 7 /7A,Heemserveen,05069454
8141PA,Mb Stables,Oude Rozeboomseweg 2,Heino,70657351
7554PG,De Tukkerij,Sluitersdijk 42,Hengelo,61956899
7554PG,Hj Stegeman,Sluitersdijk 29,Hengelo,08213269
7554PR,Pensionstal Scholten,Kerkpad 8,Hengelo,08183071
7552PG,Vof Stal Pegge,Korte Smienkweg 16,Hengelo,08203924
7451LP,Ha Nikkels,Boerendanssteeg 27 W,Holten,08206714
7793HM,Veehouderij Ramaker Vof,Hoogenweg 46,Hoogenweg,69791384
8278AN,Stal Wittenstein,Wittensteinse allee 3,Kamperveen,08190719
8278AB,Stal Retto,Kamperstraatweg 23 B,Kamperveen,05049373
8278AN,Vds Paarden,Wittensteinse allee 1,Kamperveen,74816772
7635NK,De Schuurmanhoeve,Frensdorferweg 36,Lattrop-Breklenkamp,66943841
7635NA,Stal T Hofstee,Dorpsstraat 9,Lattrop-Breklenkamp,08100355
7635NK,Stal De Meyboom Vof,Frensdorferweg 37,Lattrop-Breklenkamp,72796448
8148RH,Ekkelkamp Never Know,Hellendoornseweg 23,Lemele,08211267
8151AT,F Hoogenboom,Ommerweg 6 A,Lemelerveld,61960411
8153RC,Mam Streppel,Oude Twentseweg 48 A,Lemelerveld,08221553
8152DG,Stal De Hoge Linde,Dwarsweg 10,Lemelerveld,08199947
7434RH,Stal De Borgelink,Borgelinksweg 2,Lettele,08212749
8144RC,Stal Herenbrink,Herenbrinksweg 3 a,Lierderholthuis,50356143
8144RE,Stal Middag,Lierderholthuisweg 42,Lierderholthuis,60245158
8105SB,Hhm Bosch,Lemelerweg 52,Luttenberg,08190506
8105RE,Jgam Reimink,Schanekampsweg 6,Luttenberg,08216527
8105SK,Oosterlaar Horses Import En Export Bv,Vondervoortsweg 9,Luttenberg,60213450
7663TE,Stal Denink,Uelserweg 162,Mander,52336735
8293PA,Vof Henniphof,Bisschopswetering 78,Mastenbroek,50147366
8293PA,Vof Henniphof Vth,Bisschopswetering 78,Mastenbroek,05071814
8112PS,Gp Horses,Reuskenweg 3,Nieuw Heeten,62668684
7711BN,Fokkerij Handelsstal Ruitenberg,Oosterveen 35,Nieuwleusen,08169096
8121RV,Fw Jansen En Jm Jansen Meijerink,Kloosterstraat 13,Olst,54056454
7637PB,Bonke Vof,Laagsestraat 38,Oud Ootmarsum,60049138
7637PD,De Wiemselbach,de Mors 69,Oud Ootmarsum,08119652
7637PD,Holding De Wiemselbach Bv,de Mors 69,Oud Ootmarsum,06048529
7637PD,Stal Horn Bv,de Mors 69,Oud Ootmarsum,06063547
7586RB,Berkelroos,Invalsweg 17,Overdinkel,06083385
7586RR,Handelstal De Saandkaamp,Strootsweg 4,Overdinkel,57702241
7586RB,Rosemarie Olde Benneker,Invalsweg 37 A,Overdinkel,08186018
7715RD,W Harke,Domineesakker 22,Punthorst,08223258
8102SL,Jjs Winterstalling Opfok,Hagweg 9,Raalte,05073786
8102ST,Overmars Breeding And Sporthorses,Wolthaarsdijk WZ 9,Raalte,73298360
7433RT,Aj Slot,Kranekampsweg 2,Schalkhaar,08198426
7951PK,Stoeterij Druivenstein Vof,Druivensteinweg 1,Staphorst,74373927
7737PD,Kerimaa Sporthorses,Ondersloot Zuid 2,Stegeren,77328914
7651LC,Stal Luttikhuis Vof,Denekamperweg 79,Tubbergen,78385970
7946LZ,Hj Kamphof,Zomerdijk 5,Wanneperveen,53347080
7946LZ,Hoeve Beukers,Zomerdijk 20 a,Wanneperveen,08200871
7946KK,Spring En Handelsstal Hoorn,Gasthuisdijk 1 a,Wanneperveen,08178469
7595KH,Hengstenhouderij Borghuis,Beekdorpweg 18,Weerselo,71200517
7595MK,Hengstenhouderij Nijenkamp,Hilbertweg 5,Weerselo,08201551
7642NT,Vof Combinatie Wesselsvetker,Ypeloweg 43,Wierden,06067353
7738PS,Stal Dijk Priemis,Maatschappijwijk 2,Witharen,70572488
7738PS,Stal Dijk Priemis 2,Maatschappijwijk 2,Witharen,70572488
