Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
1391HJ,Jha Van Blokland,Voetangelweg 9,Abcoude,30091941
1391GT,Stal Willig,Gein-Zuid 16,Abcoude,51289776
4233CG,Manege De Schakel,Reigersdreef 3,Ameide,70769079
3958MD,G Brouwer 2,Ameronger Wetering 6,Amerongen,53632796
3621LA,Benz Fokkerij,Oud Aa 39 a,Breukelen,60164735
3752LK,Pensionstal Weidezicht,Bisschopsweg 20,Bunschoten-Spakenburg,32091083
3751LC,Vof Kok Bunschoten,Zevenhuizerstraat 293,Bunschoten-Spakenburg,65032462
3751LC,Hoeve De Neerduist,Zevenhuizerstraat 287,Bunschoten-Spakenburg,77866843
3732HX,Agm Huurdeman,Universiteitsweg 10,De Bilt,59166363
3731GB,Stal Griftenstein,Utrechtseweg 371,De Bilt,30114240
1426RW,Amstelhoeve Recreatie,Ruigekade 24,de Hoef,30161046
3941PT,Firma Maat,Molenweg 9,Doorn,33207363
3941DA,Manege Den Toom,Drift 3,Doorn,30014942
3754NC,Maatschap M Huijgen En M Huijgen Beekhuis,Eemdijk 3,Eemdijk,32154287
3755MT,Suus Kuyten Horses Bv,Heidelaan 4,Eemnes,16074526
3755NM,Vof Stal Paardenvreugd,Geerenweg 10,Eemnes,32164734
3755NM,Waaij Stud,Geerenweg 2,Eemnes,32151367
3755NM,Waaij Stud 2,Geerenweg 2,Eemnes,32151367
3737BL,Stal Van Brenk Bv,Voordorpsedijk 29,Groenekan,74470132
3737AD,T Spelt,Groenekanseweg 151,Groenekan,30271518
3481GW,A De Wit Paardenfokkerij,Dorpeldijk 6,Harmelen,58055819
3481LD,Merel Massop Dressage,Reijerscop 9 B,Harmelen,70697779
3481LE,Ponycentrum Van Eck,Reijerscop 18,Harmelen,30148682
3481LR,Vof Nieuwpoort Bos,Breudijk 52,Harmelen,30284950
3481LD,W En G Brouwer,Reijerscop 12,Harmelen,30281312
3992LX,Manege En Hengstenhouderij Zilfia Bv,Fortweg 13,Houten,30053490
3992LN,Stal T Hemeltje,Waijensedijk 23,Houten,30195880
3401NT,Achtersloot Stables,Achtersloot 65,IJsselstein,30118859
3401VA,Stal Van Vliet,Lage Dijk-Noord 28,IJsselstein,73587729
4247EV,Stal Kampinga,Tiendweg 1,Kedichem,56943962
4245TW,Hoeve Versteeg,Middelkoop 90 A,Leerbroek,11050498
3831JS,Maatschap Van Eijden,Hagenouwselaan 3,Leusden,32163291
3833AA,Pensionstal Klein Heiligenberg Vof,Ursulineweg 1,Leusden,53657462
4128LM,Stoeterij Van Der Vlist,Lakerveld 266,Lexmond,24324200
3411NB,Paardenrusthuis Jakari Vof,Tiendweg 12,Lopik,53817540
3411NB,Stal Willige Hoven Bv,Tiendweg 38,Lopik,30114865
3953ML,Epolma,Griftdijk 2,Maarsbergen,30234971
3641RA,Mpm Straathof,Tienboerenweg 22,Mijdrecht,30175635
3417BN,Stal Centaurus,Blindeweg 3,Montfoort,53386345
3417MC,Swi Stylingbureau,Willeskop 77,Montfoort,30272422
1393PJ,Veldhuisen Stables Nigtevecht,Klompweg 30,Nigtevecht,66893933
3959AW,Autorijschool Dianne,Schoolweg 37,Overberg,54686350
3959AR,Stal De Lange Vos,Haarweg 22,Overberg,30267377
3959AW,Stal Equilibrium,Schoolweg 8,Overberg,27166725
3927CR,T Blauwe Kieltje,Groeperweg 4 b,Renswoude,70594856
3998WJ,Dah Stables,Neereind 17,Schalkwijk,70884978
3768HL,Ga Pronk,Birkstraat 112,Soest,54102634
3836PA,Woobhouse Stables,Koedijkerweg 50,Stoutenburg Noord,32087776
3999NT,Waalsehoeve,Waalseweg 40,Tull en 't Waal,30242178
3903LD,H Henken,Middelbuurtseweg 58,Veenendaal,30271917
3646AL,Paardenhouderij Van Der Eijk Maatschap,Proostdijerdwarsweg 3,Waverveen,30269728
3646AT,Panta Rhei,1e Velddwarsweg 3,Waverveen,63301245
3615AA,Dierenarts Maarten Pieterse,Kooijdijk 21,Westbroek,57407835
3648NM,Van Zijl Vof,Bovendijk 36,Wilnis,54303028
3931MZ,Beek Ranch,Voskuilerdijk 8,Woudenberg,76182509
3931ND,Forest Mountain Ranch,Klein Moorst 1,Woudenberg,32103293
3931MT,Hc Van Der Wardt,Parallelweg 134,Woudenberg,70236542
3931PD,Honselaar Horses Bv,Laagerfseweg 87,Woudenberg,31042402
3709JN,Vof T Hoeveke,Bunsinglaan 17,Zeist,58876723
