Postcode,Naam manege,Straat en huisnummer,Plaats,Telefoonnummer (indien beschikbaar)
2954LD,Stoeterij Kortland,Kortland 42 c,Alblasserdam,77036913
2401LP,Lone Star Western Stable,Gnephoek 42,Alphen aan den Rijn,28089985
2407AB,Vof Captein,J.C. Hoogendoornlaan 37 A,Alphen aan den Rijn,27349027
4241EB,Mf Van Helden Marskamp,Rietveld 7,Arkel,68858981
2651KV,Stoeterij Galloper,Kleihoogt 11 b,Berkel en Rodenrijs,27275688
2665KM,Cooperatie Fair To Horses Ua,Merenweg 25,Bleiswijk,72371544
2411RT,Lj Hofland Beheer Bv,Zuidzijde 63,Bodegraven,28110861
2411RT,Stal De Groot,Zuidzijde 68 a,Bodegraven,57016313
2411RE,Stal De Olijftak,Noordzijde 111,Bodegraven,28093980
2771RW,Manege Bentwoud Bv,Sportlaan 3,Boskoop,29048759
2645BD,Dressage Horses Vitale Prijs,Zuideindseweg 25,Delfgauw,60696702
2629JE,Me Sonneveld Littel,Rijksstraatweg 115,Delft,63250713
2629JE,Manege De Prinsenstad Bv,Rijksstraatweg 145,Delft,27219574
2629HD,Stal Poot,Rotterdamseweg 191 A,Delft,54972914
3247LD,Awb Paardenfokkerij Bv,Oost Havendijk 24,Dirksland,52582949
3329KT,De Randhoeve,Wieldrechtse Zeedijk 4,Dordrecht,75044994
3329KS,Stal De Elzen,Van Elzelingenweg 17,Dordrecht,66107016
3211LA,Ge Timmer,Dankerseweg 10,Geervliet,24206066
3381JR,Hengstenhouderij Landzicht Bv,Neerpolderseweg 73,Giessenburg,11060036
3381GC,Stal Vonk,Binnendamseweg 18,Giessenburg,30274641
4205NG,Valk Horses Bv,Vlietskade 60,Gorinchem,74996487
2391MS,Fa Kaptein,Burmadeweg 12,Hazerswoude-Dorp,28025353
2391AG,Studio Citta,Voorweg 86,Hazerswoude-Dorp,28092723
2995XC,Plaizier Dressage Stables,Develweg 1,Heerjansdam,74728024
2995XK,Wl Plaizier Sportpaarden Bv,Lindeweg 14 C,Heerjansdam,23063725
3209BC,Stoeterij Willemshof,Toldijk 7 A,Hekelingen,53624637
3223LB,Paulinehoeve,Betjesweg 1,Hellevoetsluis,67535089
4223MB,Pensionstal Den Hartog,Hoge Giessen 3 I,Hoornaar,11057349
2967GE,Dressuurhof,Lekdijk 110,Langerak,24403772
2323LG,Whl Van Der Post,Vlietweg 82,Leiden,52277089
